A0CAELD,Cloth seats,175,No CD player,50
A0CASEV,No CD player,50,,
A0CASEV,No CD player,50,,
A0CHC15,6cyl (not Work Truck),175,,
A0CHC25,,,,
A0CHC2K,,,,
A0CHCAM,Manual trans,200,No CD player,50,,
A0CHCAM,Manual trans,200,No CD player,50,,
A0CHCAV,No air cond,175,Manual trans,175,,
A0CHCAV,No air cond,175,Manual trans,175,,
A0CHCVT,No CD player,50,,,,
A0CHCVT,No CD player,50,,,,
A0CHEXP,,,,,,
A0CHG15,6cyl,175,,,,
A0CHG25,,,,,,
A0CHIMP,,,No cruise ctrl,50,,
A0CHIMP,,,No cruise ctrl,50,,
A0CHLUM,,,,,,
A0CHLUM,,,,,,
A0CHMAL,2.4L (4cyl-150hp),175,,,,
A0CHMAL,2.4L (4cyl-150hp),175,,,,
A0CHMET,Man trans (not Base),175,No air cond,175,No radio,75
A0CHMET,Man trans (not Base),175,No air cond,175,No radio,75
A0CHMON,No cruise,50,,,,
A0CHMON,No cruise,50,,,,
A0CHPRI,No air cond,175,,,Manual trans,175
A0CHPRI,No air cond,175,,,Manual trans,175
A0CHS10,4cyl,175,,,,
A0CHS10,4cyl,175,,,,
A0CHSTB,,,,,,
A0CHSTB,,,,,,
A0CHSUB,,,,,,
A0CHSUB,,,,,,
A0CHTAH,,,,,,
A0CHTAH,,,,,,
A0CHTRA,,,,,,
A0CHTRA,,,,,,
A0CHVEN,Psngr slider only,175,,,,
A0CHVEN,Psngr slider only,175,,,,
A0CY300,Cloth seats,175,,,,
A0CY300,Cloth seats,175,,,,
A0CYCIR,,,,,,
A0CYCIR,,,,,,
A0CYCON,No ABS,75,,,,
A0CYCON,No ABS,75,,,,
A0CYNEW,,,,,,
A0CYNEW,,,,,,
A0CYSEB,2.0L/2.4L-I4 (140/150hp),175,Vinyl seats,175,Manual trans,175
A0CYSEB,2.0L/2.4L-I4 (140/150hp),175,Vinyl seats,175,Manual trans,175
A0CYTOW,Wheel covers,50,,,,
A0CYTOW,Wheel covers,50,,,,
A0DALAN,No air cond,250,Manual trans,200,,
A0DALEG,Manual trans,250,,,,
